"Timestamp","Total score","What grade are you in?","What grade are you in? [Score]","What grade are you in? [Feedback]","Did you ever get hacked?","Did you ever get hacked? [Score]","Did you ever get hacked? [Feedback]","Has your password ever gotten leaked in a data leak? Example below.
","Has your password ever gotten leaked in a data leak? Example below.
 [Score]","Has your password ever gotten leaked in a data leak? Example below.
 [Feedback]","What makes you feel a password is “secure enough”? ","What makes you feel a password is “secure enough”?  [Score]","What makes you feel a password is “secure enough”?  [Feedback]","Do you reuse passwords for multiple accounts? ","Do you reuse passwords for multiple accounts?  [Score]","Do you reuse passwords for multiple accounts?  [Feedback]","If you reuse the same password, Is your password short/easy or long/complex?","If you reuse the same password, Is your password short/easy or long/complex? [Score]","If you reuse the same password, Is your password short/easy or long/complex? [Feedback]","If you answered the previous question, please explain why (optional!)","If you answered the previous question, please explain why (optional!) [Score]","If you answered the previous question, please explain why (optional!) [Feedback]","Have you ever used an automatically generated/recommended password?","Have you ever used an automatically generated/recommended password? [Score]","Have you ever used an automatically generated/recommended password? [Feedback]","Did you enjoy this questionnaire","Did you enjoy this questionnaire [Score]","Did you enjoy this questionnaire [Feedback]"
"2026/02/03 11:12:29 AM EST","999999.00 / 999999","Sophmore(10th)","-- / 0","","No","-- / 0","","Yes","-- / 0","","When it has symbols like “*” or “!”.","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/03 11:18:37 AM EST","999999.00 / 999999","Freshman(9th)","-- / 0","","Yes, but I got the account back","-- / 0","","No","-- / 0","","Something that a person will know about me ","-- / 0","","No","-- / 0","","Short and Easy","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/03 11:23:29 AM EST","999999.00 / 999999","Adult (graduated)","-- / 0","","Yes, but I got the account back","-- / 0","","Yes","-- / 0","","Because i gave to someone to handle it","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/03 11:27:20 AM EST","0.00 / 999999","Adult (graduated)","-- / 0","","Yes, but I got the account back","-- / 0","","Yes","-- / 0","","If its long enough ","-- / 0","","No","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","Yes","-- / 0","","No","0.00 / 999999","you're wrong 🤓👆, of course you did, stop lying, either you like it or you didn't take it"
"2026/02/03 12:07:03 PM EST","999999.00 / 999999","Freshman(9th)","-- / 0","","Yes, but I got the account back","-- / 0","","Not Sure","-- / 0","","When it contains something personal that no one else knows","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/03 12:11:59 PM EST","999999.00 / 999999","Sophmore(10th)","-- / 0","","No","-- / 0","","Not Sure","-- / 0","","If it is not guessable by someone who knows you","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/03 12:15:31 PM EST","0.00 / 999999","Sophmore(10th)","-- / 0","","No","-- / 0","","No","-- / 0","","if i make it it is secure enough","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","because only a strong password is fit for a strong owner","-- / 0","","No","-- / 0","","No","0.00 / 999999","you're wrong 🤓👆, of course you did, stop lying, either you like it or you didn't take it"
"2026/02/03 12:18:02 PM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","No","-- / 0","","Yes","-- / 0","","Unique combination","-- / 0","","Yes","-- / 0","","Short and Easy","-- / 0","","Easier to remember","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/03 12:19:08 PM EST","0.00 / 999999","Sophomore(10th)","-- / 0","","No","-- / 0","","No","-- / 0","","When is something unique or hard for others to figure out. ","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","No","-- / 0","","No","0.00 / 999999","you're wrong 🤓👆, of course you did, stop lying, either you like it or you didn't take it"
"2026/02/03 12:20:36 PM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","No","-- / 0","","Yes","-- / 0","","I feel like a password is ""secure enough"" when it's able to be remembered by the creator while still being unique and having a certain number of characters/symbols.","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","The password I tend to reuse is what I would consider a medium length password and it's one I can easily remember while still having unique aspects.","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/03 12:21:22 PM EST","999999.00 / 999999","Adult (graduated)","-- / 0","","No","-- / 0","","No","-- / 0","","Very strong password","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/03 12:26:12 PM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","No","-- / 0","","Yes","-- / 0","","Complexity in terms of the characters used or the type of phrase that comes to mind.","-- / 0","","No","-- / 0","","Both on different websites","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/03 12:28:40 PM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","No","-- / 0","","Not Sure","-- / 0","","It isn't something super basic and generic (EX: 1234) and is something random enough that anyone who learns personal info about you can't put it together (For example don't use your birthday, name, or pet name)","-- / 0","","Yes","-- / 0","","Both on different websites","-- / 0","","Its mainly between short and medium but my email password differs and certain websites require your password to be a certain strength","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/03 12:29:49 PM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","No","-- / 0","","No","-- / 0","","the more complicated it is, the better.","-- / 0","","Yes","-- / 0","","Both on different websites","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/03 12:30:25 PM EST","999999.00 / 999999","Adult (graduated)","-- / 0","","No","-- / 0","","No","-- / 0","","Mixed special characters","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/03 12:37:15 PM EST","0.00 / 999999","Sophomore(10th)","-- / 0","","No","-- / 0","","No","-- / 0","","numbers and different symbols and capitalization.","-- / 0","","Yes","-- / 0","","Short and Easy","-- / 0","","Easy to remember.","-- / 0","","Yes","-- / 0","","No","0.00 / 999999","you're wrong 🤓👆, of course you did, stop lying, either you like it or you didn't take it"
"2026/02/03 12:53:53 PM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","Yes, I lost the account","-- / 0","","Not Sure","-- / 0","","If I use a good mixture of characters ","-- / 0","","Yes","-- / 0","","Both on different websites","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/03 12:54:25 PM EST","0.00 / 999999","Sophomore(10th)","-- / 0","","Yes, I lost the account","-- / 0","","Not Sure","-- / 0","","random password","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","Yes","-- / 0","","No","0.00 / 999999","you're wrong 🤓👆, of course you did, stop lying, either you like it or you didn't take it"
"2026/02/03 12:54:30 PM EST","0.00 / 999999","Sophomore(10th)","-- / 0","","No","-- / 0","","No","-- / 0","","i dont really care about secure enough","-- / 0","","Yes","-- / 0","","Both on different websites","-- / 0","","","-- / 0","","Yes","-- / 0","","No","0.00 / 999999","you're wrong 🤓👆, of course you did, stop lying, either you like it or you didn't take it"
"2026/02/03 12:54:30 PM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","Yes, but I got the account back","-- / 0","","Not Sure","-- / 0","","The way that i feel like a password is secure enough is by having numbers letters and symbols.","-- / 0","","Yes","-- / 0","","Short and Easy","-- / 0","","","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/03 2:04:04 PM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","Yes, but I got the account back","-- / 0","","Not Sure","-- / 0","","It's something only I could know","-- / 0","","No","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
